System	Name	Sign up req	Vector drawing	Monowidth line	Lines snap	SVG export	Outline path	Script font	Price	Notes	Interested
Android	Concepts	No	Yes	Yes	No	Yes	No	No	14.99	Nice	Yes
Android	Pen Tool SVG	No	Yes	Yes	Yes	Yes	No	No	0	Busy screen	Yes
Android	Vector ink	No	Yes	Yes	No	Yes	-	-	5.99	Weird pencil experience	No
Android	ibis Paint X	No	No	-	-	-	-	-	-	No vector drawing	No
Android	Skedio	No	Yes	Yes	Yes	Yes	-	-	1.99	No page control	No
Android	Vector Asset Creator	No	Yes	-	-	-	-	-	-	No pencil tool	No
Android	Design	No	Yes	Yes	No	Yes	Yes	-	5.99	Alright to use but svg is outline path	No
Android	Canva	Yes	Yes	No	-	Yes	-	-	14.99/mth	Don’t like	No
Android	Desygner	Yes	-	-	-	No	-	No	-	No drawing	No
Android	Ivy Draw	No	Yes	Yes	No	Yes	-	-	5.99	Drawing is difficult, don’t like	No
Android	SVG Editor	No	Yes	No	-	-	-	-	5.49/mth	No drawing	No
Android	Shapes	No	Yes	Yes	-	-	-	-	-	No drawing	No
